address	name	status
1000d150	FUN_1000d150	pseudocode-emitted
1000d240	FUN_1000d240	pseudocode-emitted
1000d3c0	FUN_1000d3c0	pseudocode-emitted
1000d8d0	FUN_1000d8d0	pseudocode-emitted
1000dad0	FUN_1000dad0	pseudocode-emitted
1000db50	FUN_1000db50	pseudocode-emitted
1000dc50	FUN_1000dc50	pseudocode-emitted
1000dd40	FUN_1000dd40	pseudocode-emitted
1000de10	FUN_1000de10	pseudocode-emitted
1000df90	FUN_1000df90	pseudocode-emitted
1000e060	FUN_1000e060	pseudocode-emitted
1000e270	FUN_1000e270	pseudocode-emitted
1000e550	FUN_1000e550	pseudocode-emitted
1000e8b0	FUN_1000e8b0	pseudocode-emitted
1000e980	FUN_1000e980	pseudocode-emitted
1000ea90	operator_delete	pseudocode-emitted
1000ea96	operator_new	pseudocode-emitted
1000ea9c	GetConnectionHook	pseudocode-emitted
1000eaa2	GetExtraConnectionPoints	pseudocode-emitted
1000eaa8	GetInterfaceHook	pseudocode-emitted
1000eaae	OnCreateAggregates	pseudocode-emitted
1000eab4	GetEventSinkMap	pseudocode-emitted
1000eaba	GetConnectionMap	pseudocode-emitted
1000eac0	GetDispatchMap	pseudocode-emitted
1000eac6	GetCommandMap	pseudocode-emitted
1000eacc	GetTypeLib	pseudocode-emitted
1000ead2	GetTypeLibCache	pseudocode-emitted
1000ead8	GetTypeInfoCount	pseudocode-emitted
1000eade	GetDispatchIID	pseudocode-emitted
1000eae4	IsInvokeAllowed	pseudocode-emitted
1000eaea	OnCmdMsg	pseudocode-emitted
1000eaf0	OnChildNotify	pseudocode-emitted
1000eaf6	DeleteItem	pseudocode-emitted
1000eafc	CompareItem	pseudocode-emitted
1000eb02	MeasureItem	pseudocode-emitted
1000eb08	DrawItem	pseudocode-emitted
1000eb0e	Create	pseudocode-emitted
1000eb14	GetRuntimeClass	pseudocode-emitted
1000eb20	PreInitDialog	pseudocode-emitted
1000eb26	GetOccDialogInfo	pseudocode-emitted
1000eb2c	SetOccDialogInfo	pseudocode-emitted
1000eb32	CheckAutoCenter	pseudocode-emitted
1000eb38	OnCmdMsg	pseudocode-emitted
1000eb3e	PreTranslateMessage	pseudocode-emitted
1000eb44	OnOK	pseudocode-emitted
1000eb4a	OnSetFont	pseudocode-emitted
1000eb50	DoModal	pseudocode-emitted
